id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2000,7500,1,11000,0,0,0,0,
1,depot,6200,8500,1,11000,0,0,0,1,
2,depot,9000,6500,1,11000,0,0,0,2,
3,depot,1800,2800,1,11000,0,0,0,3,
4,depot,5000,3800,1,11000,0,0,0,4,
5,depot,9000,3200,1,11000,0,0,0,5,
6,depot,3800,5600,1,11000,0,0,0,6,
7,depot,6800,6500,1,11000,0,0,0,7,
8,point,3000,4500,1500,3500,600,0,1,8,
9,point,3000,4500,3501,5500,600,0,2,8,
10,point,5700,9300,1,2000,600,0,1,9,
11,point,5700,9300,2001,4000,600,0,2,9,
12,point,5500,5300,1500,3500,600,0,1,10,
13,point,5500,5300,3501,5500,600,0,2,10,
14,point,5300,2400,5000,7000,600,0,1,11,
15,point,5300,2400,7001,9000,600,0,2,11,
16,line,3500,2900,3000,7000,0,15,1,12,0
17,line,4200,4800,3000,7000,0,14,1,13,0
18,line,3500,2900,7001,11000,0,17,2,12,0
19,line,4200,4800,7001,11000,0,16,2,13,0
20,line,3000,8500,1,3000,0,19,1,14,1
21,line,5000,8500,1,3000,0,18,1,15,1
22,line,3000,8500,3001,6000,0,21,2,14,1
23,line,5000,8500,3001,6000,0,20,2,15,1
24,line,6100,6900,1,3000,0,23,1,16,2
25,line,7500,8100,1,3000,0,22,1,17,2
26,line,6100,6900,3001,6000,0,25,2,16,2
27,line,7500,8100,3001,6000,0,24,2,17,2
28,line,7600,4100,3000,7000,0,27,1,18,3
29,line,9000,5200,3000,7000,0,26,1,19,3
30,line,7600,4100,7001,11000,0,29,2,18,3
31,line,9000,5200,7001,11000,0,28,2,19,3
