id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2100,2800,1,15000,0,0,0,0,
1,depot,2400,7700,1,15000,0,0,0,1,
2,depot,2500,12500,1,15000,0,0,0,2,
3,depot,7000,8000,1,15000,0,0,0,3,
4,depot,8000,2000,1,15000,0,0,0,4,
5,depot,12600,2600,1,15000,0,0,0,5,
6,depot,12100,9500,1,15000,0,0,0,6,
7,depot,10000,12400,1,15000,0,0,0,7,
8,point,11000,8000,1,2000,600,0,1,8,
9,point,11000,8000,2001,4000,600,0,2,8,
10,point,8000,12000,2000,4000,600,0,1,9,
11,point,8000,12000,4001,6000,600,0,2,9,
12,point,12000,11000,3000,5000,600,0,1,10,
13,point,12000,11000,5001,7000,600,0,2,10,
14,point,13000,6000,4001,6000,600,0,1,11,
15,point,13000,6000,6001,8000,600,0,2,11,
16,point,14000,10000,5000,7000,600,0,1,12,
17,point,14000,10000,7001,9000,600,0,2,12,
18,line,9500,9200,1,3000,0,19,1,13,0
19,line,9500,10800,1,3000,0,18,1,14,0
20,line,9500,9200,3001,6000,0,21,2,13,0
21,line,9500,10800,3001,6000,0,20,2,14,0
22,line,9500,9200,6001,9000,0,23,3,13,0
23,line,9500,10800,6001,9000,0,22,3,14,0
24,line,9500,9200,9001,12000,0,25,4,13,0
25,line,9500,10800,9001,12000,0,24,4,14,0
26,line,9500,9200,12001,15000,0,27,5,13,0
27,line,9500,10800,12001,15000,0,26,5,14,0
28,line,8400,6400,1,3000,0,29,1,15,1
29,line,9700,6500,1,3000,0,28,1,16,1
30,line,8400,6400,3001,6000,0,31,2,15,1
31,line,9700,6500,3001,6000,0,30,2,16,1
32,line,8400,6400,6001,9000,0,33,3,15,1
33,line,9700,6500,6001,9000,0,32,3,16,1
34,line,8400,6400,9001,12000,0,35,4,15,1
35,line,9700,6500,9001,12000,0,34,4,16,1
36,line,8400,6400,12001,15000,0,37,5,15,1
37,line,9700,6500,12001,15000,0,36,5,16,1
