id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2000,7500,1,12000,0,0,0,0,
1,depot,6200,8500,1,12000,0,0,0,1,
2,depot,9000,6500,1,12000,0,0,0,2,
3,depot,1800,2800,1,12000,0,0,0,3,
4,depot,5000,3800,1,12000,0,0,0,4,
5,depot,9000,3200,1,12000,0,0,0,5,
6,point,3000,4500,1,4000,600,0,1,6,
7,point,3000,4500,4001,8000,600,0,2,6,
8,point,3800,6900,1,4000,600,0,1,7,
9,point,3800,6900,4001,8000,600,0,2,7,
10,point,7000,5600,1,4000,600,0,1,8,
11,point,7000,5600,4001,8000,600,0,2,8,
12,point,7000,2800,1,4000,600,0,1,9,
13,point,7000,2800,4001,8000,600,0,2,9,
14,line,3500,2900,1,6000,0,15,1,10,0
15,line,4200,4800,1,6000,0,14,1,11,0
16,line,3500,2900,6001,12000,0,17,2,10,0
17,line,4200,4800,6001,12000,0,16,2,11,0
18,line,3000,8500,1,6000,0,19,1,12,1
19,line,5000,8500,1,6000,0,18,1,13,1
20,line,3000,8500,6001,12000,0,21,2,12,1
21,line,5000,8500,6001,12000,0,20,2,13,1
22,line,6100,6900,1,6000,0,23,1,14,2
23,line,7500,8100,1,6000,0,22,1,15,2
24,line,6100,6900,6001,12000,0,25,2,14,2
25,line,7500,8100,6001,12000,0,24,2,15,2
26,line,7600,4100,1,6000,0,27,1,16,3
27,line,9000,5200,1,6000,0,26,1,17,3
28,line,7600,4100,6001,12000,0,29,2,16,3
29,line,9000,5200,6001,12000,0,28,2,17,3
