id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2000,7500,1,13000,0,0,0,0,
1,depot,6200,8500,1,13000,0,0,0,1,
2,depot,9000,6500,1,13000,0,0,0,2,
3,depot,1800,2800,1,13000,0,0,0,3,
4,depot,5000,3800,1,13000,0,0,0,4,
5,depot,9000,3200,1,13000,0,0,0,5,
6,depot,3800,5600,1,13000,0,0,0,6,
7,depot,6800,6500,1,13000,0,0,0,7,
8,point,1800,4500,1000,3000,600,0,1,8,
9,point,1800,4500,3001,5000,600,0,2,8,
10,point,1800,4500,5001,7000,600,0,3,8,
11,point,4100,8200,2000,4000,600,0,1,9,
12,point,4100,8200,4001,6000,600,0,2,9,
13,point,4100,8200,6001,8000,600,0,3,9,
14,point,7900,4600,3000,5000,600,0,1,10,
15,point,7900,4600,5001,7000,600,0,2,10,
16,line,3800,2700,4000,7000,0,17,1,11,0
17,line,5800,2900,4000,7000,0,16,1,12,0
18,line,3800,2700,7001,10000,0,19,2,11,0
19,line,5800,2900,7001,10000,0,18,2,12,0
20,line,3800,2700,10001,13000,0,21,3,11,0
21,line,5800,2900,10001,13000,0,20,3,12,0
22,line,6400,9200,2000,5000,0,23,1,13,1
23,line,8000,8100,2000,5000,0,22,1,14,1
24,line,6400,9200,5001,8000,0,25,2,13,1
25,line,8000,8100,5001,8000,0,24,2,14,1
26,line,6400,9200,8001,11000,0,27,3,13,1
27,line,8000,8100,8001,11000,0,26,3,14,1
28,line,8300,5500,1000,5000,0,29,1,15,2
29,line,8300,7500,1000,5000,0,28,1,16,2
30,line,8300,5500,5001,9000,0,31,2,15,2
31,line,8300,7500,5001,9000,0,30,2,16,2
