id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2000,7500,1,16000,0,0,0,0,
1,depot,6200,8500,1,16000,0,0,0,1,
2,depot,9000,6500,1,16000,0,0,0,2,
3,depot,1800,2800,1,16000,0,0,0,3,
4,depot,5000,3800,1,16000,0,0,0,4,
5,depot,9000,3200,1,16000,0,0,0,5,
6,point,5500,7600,1,4000,600,0,1,6,
7,point,5500,7600,4001,8000,600,0,2,6,
8,point,5500,7600,8001,12000,600,0,3,6,
9,point,5500,7600,12001,16000,600,0,4,6,
10,point,7000,3600,1,4000,600,0,1,7,
11,point,7000,3600,4001,8000,600,0,2,7,
12,point,7000,3600,8001,12000,600,0,3,7,
13,point,7000,3600,12001,16000,600,0,4,7,
14,line,3400,3800,1,4000,0,15,1,8,0
15,line,3400,6700,1,4000,0,14,1,9,0
16,line,3400,3800,4001,8000,0,17,2,8,0
17,line,3400,6700,4001,8000,0,16,2,9,0
18,line,3400,3800,8001,12000,0,19,3,8,0
19,line,3400,6700,8001,12000,0,18,3,9,0
20,line,3400,3800,12001,16000,0,21,4,8,0
21,line,3400,6700,12001,16000,0,20,4,9,0
22,line,5400,5100,1,4000,0,23,1,10,1
23,line,7200,6400,1,4000,0,22,1,11,1
24,line,5400,5100,4001,8000,0,25,2,10,1
25,line,7200,6400,4001,8000,0,24,2,11,1
26,line,5400,5100,8001,12000,0,27,3,10,1
27,line,7200,6400,8001,12000,0,26,3,11,1
28,line,5400,5100,12001,16000,0,29,4,10,1
29,line,7200,6400,12001,16000,0,28,4,11,1
