id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2000,7500,1,12000,0,0,0,0,
1,depot,6200,8500,1,12000,0,0,0,1,
2,depot,9000,6500,1,12000,0,0,0,2,
3,depot,1800,2800,1,12000,0,0,0,3,
4,depot,5000,3800,1,12000,0,0,0,4,
5,depot,9000,3200,1,12000,0,0,0,5,
6,point,2800,5200,1,4000,600,0,1,6,
7,point,2800,5200,4001,8000,600,0,2,6,
8,point,2800,5200,8001,12000,600,0,3,6,
9,point,4500,8200,1,4000,600,0,1,7,
10,point,4500,8200,4001,8000,600,0,2,7,
11,point,4500,8200,8001,12000,600,0,3,7,
12,point,7000,6300,1,6000,600,0,1,8,
13,point,7000,6300,6001,12000,600,0,2,8,
14,line,2200,8700,1,4000,0,15,1,9,0
15,line,4400,9300,1,4000,0,14,1,10,0
16,line,2200,8700,4001,8000,0,17,2,9,0
17,line,4400,9300,4001,8000,0,16,2,10,0
18,line,2200,8700,8001,12000,0,19,3,9,0
19,line,4400,9300,8001,12000,0,18,3,10,0
20,line,5200,5600,1,4000,0,21,1,11,1
21,line,5200,7300,1,4000,0,20,1,12,1
22,line,5200,5600,4001,8000,0,23,2,11,1
23,line,5200,7300,4001,8000,0,22,2,12,1
24,line,5200,5600,8001,12000,0,25,3,11,1
25,line,5200,7300,8001,12000,0,24,3,12,1
26,line,7000,4500,1,6000,0,27,1,13,2
27,line,9000,5500,1,6000,0,26,1,14,2
28,line,7000,4500,6001,12000,0,29,2,15,2
29,line,9000,5500,6001,12000,0,28,2,16,2
