id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2100,2800,1,8000,0,0,0,0,
1,depot,2400,7700,1,8000,0,0,0,1,
2,depot,2500,12500,1,8000,0,0,0,2,
3,depot,7000,8000,1,8000,0,0,0,3,
4,depot,8000,2000,1,8000,0,0,0,4,
5,depot,12600,2600,1,8000,0,0,0,5,
6,depot,12100,9500,1,8000,0,0,0,6,
7,depot,10000,12400,1,8000,0,0,0,7,
8,point,6000,7000,1,3000,600,0,1,8,
9,point,6000,7000,3001,6000,600,0,2,8,
10,point,6000,10000,2000,4000,600,0,1,9,
11,point,6000,10000,4001,6000,600,0,2,9,
12,point,7000,12000,3000,5500,600,0,1,10,
13,point,7000,12000,5501,8000,600,0,2,10,
14,point,9000,11000,3000,5500,600,0,1,11,
15,point,9000,11000,5501,8000,600,0,2,11,
16,point,9000,9000,2000,4000,600,0,1,12,
17,point,9000,9000,4001,6000,600,0,2,12,
18,line,5000,8000,1,3000,0,19,1,13,0
19,line,5000,9000,1,3000,0,18,1,14,0
20,line,5000,8000,3001,6000,0,21,2,13,0
21,line,5000,9000,3001,6000,0,20,2,14,0
22,line,5000,11000,2000,4000,0,23,1,15,1
23,line,6000,11000,2000,4000,0,22,1,16,1
24,line,5000,11000,4001,6000,0,25,2,15,1
25,line,6000,11000,4001,6000,0,24,2,16,1
26,line,8000,12000,2000,4000,0,27,1,17,2
27,line,9000,12000,2000,4000,0,26,1,18,2
28,line,8000,12000,4001,6000,0,29,2,17,2
29,line,9000,12000,4001,6000,0,28,2,18,2
30,line,9000,8000,1,3000,0,31,1,19,3
31,line,9000,7000,1,3000,0,30,1,20,3
32,line,9000,8000,3001,6000,0,33,2,19,3
33,line,9000,7000,3001,6000,0,32,2,20,3
34,line,9000,6000,1,3000,0,35,1,21,4
35,line,8000,6000,1,3000,0,34,1,22,4
36,line,9000,6000,3001,6000,0,37,2,21,4
37,line,8000,6000,3001,6000,0,36,2,22,4
