id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,7801,2045,1,30000,0,0,0,0,
1,depot,6618,8784,1,30000,0,0,0,1,
2,depot,276,3334,1,30000,0,0,0,2,
3,depot,4401,3299,1,30000,0,0,0,3,
4,point,2415,1307,4000,10000,600,0,1,4,
5,point,2415,1307,10001,16000,600,0,2,4,
6,point,1370,6601,5000,8000,600,0,1,5,
7,point,1370,6601,8001,11000,600,0,2,5,
8,line,9612,749,12000,15000,0,9,1,6,0
9,line,9483,2208,12000,15000,0,8,1,7,0
10,line,9612,749,15001,18000,0,11,2,6,0
11,line,9483,2208,15001,18000,0,10,2,7,0
12,line,7510,6504,20000,25000,0,13,1,8,1
13,line,7105,7869,20000,25000,0,12,1,9,1
14,line,7510,6504,25001,30000,0,15,2,8,1
15,line,7105,7869,25001,30000,0,14,2,9,1
