id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,6618,6238,1,32000,0,0,0,0,
1,depot,3278,9821,1,32000,0,0,0,1,
2,depot,2929,3772,1,32000,0,0,0,2,
3,depot,4070,2183,1,32000,0,0,0,3,
4,point,1418,4114,5000,8000,600,0,1,4,
5,point,1418,4114,8001,11000,600,0,2,4,
6,point,8016,3268,4000,7000,600,0,1,5,
7,point,8016,3268,7001,10000,600,0,2,5,
8,line,6127,6358,11000,14000,0,9,1,6,0
9,line,6454,7722,11000,14000,0,8,1,7,0
10,line,6127,6358,14001,17000,0,11,2,6,0
11,line,6454,7722,14001,17000,0,10,2,7,0
12,line,1359,8662,26000,29000,0,13,1,8,1
13,line,2444,9330,26000,29000,0,12,1,9,1
14,line,1359,8662,29001,32000,0,15,2,8,1
15,line,2444,9330,29001,32000,0,14,2,9,1
