id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,8101,2977,1,34000,0,0,0,0,
1,depot,9120,3551,1,34000,0,0,0,1,
2,depot,5252,4805,1,34000,0,0,0,2,
3,depot,5258,454,1,34000,0,0,0,3,
4,point,7965,5856,4000,7000,600,0,1,4,
5,point,7965,5856,7001,10000,600,0,2,4,
6,point,5403,2745,12000,15000,600,0,1,5,
7,point,5403,2745,15001,18000,600,0,2,5,
8,line,2855,5530,26000,30000,0,9,1,6,0
9,line,3139,4763,26000,30000,0,8,1,7,0
10,line,2855,5530,30001,34000,0,11,2,6,0
11,line,3139,4763,30001,34000,0,10,2,7,0
12,line,5576,7219,17000,20000,0,13,1,8,1
13,line,4480,6216,17000,20000,0,12,1,9,1
14,line,5576,7219,20001,23000,0,15,2,8,1
15,line,4480,6216,20001,23000,0,14,2,9,1
