id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,6492,9983,1,10000,0,0,0,0,
1,depot,675,9554,1,10000,0,0,0,1,
2,depot,974,4920,1,10000,0,0,0,2,
3,depot,9151,2138,1,10000,0,0,0,3,
4,point,2552,748,1000,4000,600,0,1,4,
5,point,2552,748,4001,7000,600,0,2,4,
6,point,2221,1478,2500,5000,600,0,1,5,
7,point,2221,1478,5001,7500,600,0,2,5,
8,line,5026,733,1000,3000,0,9,1,6,0
9,line,4134,922,1000,3000,0,8,1,7,0
10,line,5026,733,3001,5000,0,11,2,6,0
11,line,4134,922,3001,5000,0,10,2,7,0
12,line,9022,8591,6000,8000,0,13,1,8,1
13,line,9671,9627,6000,8000,0,12,1,9,1
14,line,9022,8591,8001,10000,0,15,2,8,1
15,line,9671,9627,8001,10000,0,14,2,9,1
