id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,3867,4969,1,23000,0,0,0,0,
1,depot,1690,6489,1,23000,0,0,0,1,
2,depot,7845,2539,1,23000,0,0,0,2,
3,depot,1476,1089,1,23000,0,0,0,3,
4,point,324,6579,2000,6000,600,0,1,4,
5,point,324,6579,6001,10000,600,0,2,4,
6,point,8525,8792,2000,6000,600,0,1,5,
7,point,8525,8792,6001,10000,600,0,2,5,
8,line,4288,3512,17000,20000,0,9,1,6,0
9,line,5729,3746,17000,20000,0,8,1,7,0
10,line,4288,3512,20001,23000,0,11,2,6,0
11,line,5729,3746,20001,23000,0,10,2,7,0
12,line,2700,5076,5000,8000,0,13,1,8,1
13,line,3374,4334,5000,8000,0,12,1,9,1
14,line,2700,5076,8001,11000,0,15,2,8,1
15,line,3374,4334,8001,11000,0,14,2,9,1
