id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,3485,5176,1,22000,0,0,0,0,
1,depot,8092,3181,1,22000,0,0,0,1,
2,depot,6514,6831,1,22000,0,0,0,2,
3,depot,2779,3172,1,22000,0,0,0,3,
4,point,6908,9160,12000,17000,600,0,1,4,
5,point,6908,9160,17001,22000,600,0,2,4,
6,point,6283,4550,14000,17000,600,0,1,5,
7,point,6283,4550,17001,20000,600,0,2,5,
8,line,542,5130,4000,8000,0,9,1,6,0
9,line,10,3972,4000,8000,0,8,1,7,0
10,line,542,5130,8001,12000,0,11,2,6,0
11,line,10,3972,8001,12000,0,10,2,7,0
12,line,6964,8325,14000,17000,0,13,1,8,1
13,line,7675,8836,14000,17000,0,12,1,9,1
14,line,6964,8325,17001,20000,0,15,2,8,1
15,line,7675,8836,17001,20000,0,14,2,9,1
