id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,7931,8570,1,26000,0,0,0,0,
1,depot,3256,9129,1,26000,0,0,0,1,
2,depot,2076,440,1,26000,0,0,0,2,
3,depot,7963,1809,1,26000,0,0,0,3,
4,point,6356,3666,16000,19000,600,0,1,4,
5,point,6356,3666,19001,22000,600,0,2,4,
6,point,7465,499,18000,21000,600,0,1,5,
7,point,7465,499,21001,24000,600,0,2,5,
8,line,4300,6254,17000,20000,0,9,1,6,0
9,line,3493,7257,17000,20000,0,8,1,7,0
10,line,4300,6254,20001,23000,0,11,2,6,0
11,line,3493,7257,20001,23000,0,10,2,7,0
12,line,2304,8549,18000,22000,0,13,1,8,1
13,line,2061,7503,18000,22000,0,12,1,9,1
14,line,2304,8549,22000,26000,0,15,2,8,1
15,line,2061,7503,22000,26000,0,14,2,9,1
