id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,311,7196,1,6000,0,0,0,0,
1,depot,2324,5414,1,6000,0,0,0,1,
2,depot,6750,5928,1,6000,0,0,0,2,
3,depot,6644,2778,1,6000,0,0,0,3,
4,point,3607,3953,1,3000,600,0,1,4,
5,point,3607,3953,3001,6000,600,0,2,4,
6,point,9193,6726,1,3000,600,0,1,5,
7,point,9193,6726,3001,6000,600,0,2,5,
8,line,4315,1559,1000,3000,0,9,1,6,0
9,line,3316,829,1000,3000,0,8,1,7,0
10,line,4315,1559,3001,5000,0,11,2,6,0
11,line,3316,829,3001,5000,0,10,2,7,0
12,line,3410,5943,1000,3000,0,13,1,8,1
13,line,2173,6346,1000,3000,0,12,1,9,1
14,line,3410,5943,3001,5000,0,15,2,8,1
15,line,2173,6346,3001,5000,0,14,2,9,1
